drug_id	dname	smiles_cleanup_status	n_active_bits	fraction_active_bits	n_atoms	n_heavy_atoms	n_fragments	molecular_weight_rdkit	formal_charge
246	dantrolene	original	44	0.021484375	23.0	23.0	1.0	314.25700000000006	0.0
247	epinephrine	original	26	0.0126953125	13.0	13.0	1.0	183.207	0.0
248	trazodone	original	47	0.02294921875	26.0	26.0	1.0	371.87200000000007	0.0
249	furazolidone	original	38	0.0185546875	16.0	16.0	1.0	225.16	0.0
250	Hydroxyflutamide	original	37	0.01806640625	20.0	20.0	1.0	292.21299999999997	0.0
251	Cisatracurium besylate	original	63	0.03076171875	87.0	87.0	3.0	1243.501	0.0
252	Bretylium tosylate	original	37	0.01806640625	24.0	24.0	2.0	414.3650000000001	0.0
253	lansoprazole	original	49	0.02392578125	25.0	25.0	1.0	369.36800000000005	0.0
254	flutamide	original	37	0.01806640625	19.0	19.0	1.0	276.21399999999994	0.0
255	albendazole	original	42	0.0205078125	18.0	18.0	1.0	265.338	0.0
256	trimethoprim	original	34	0.0166015625	21.0	21.0	1.0	290.32300000000004	0.0
257	Lacosamide	original	34	0.0166015625	18.0	18.0	1.0	250.298	0.0
258	abacavir	original	46	0.0224609375	21.0	21.0	1.0	286.33900000000006	0.0
259	ILOPROST	original	55	0.02685546875	26.0	26.0	1.0	360.4940000000001	0.0
260	RANOLAZINE	original	49	0.02392578125	31.0	31.0	1.0	427.54500000000013	0.0
261	Lithium citrate	original	17	0.00830078125	16.0	16.0	4.0	209.922	0.0
262	praziquantel	original	43	0.02099609375	23.0	23.0	1.0	312.4130000000001	0.0
263	METAXALONE	original	33	0.01611328125	16.0	16.0	1.0	221.25599999999997	0.0
264	Ezetimibe glucuronide	original	61	0.02978515625	42.0	42.0	1.0	585.5560000000004	0.0
265	lamotrigine	original	29	0.01416015625	16.0	16.0	1.0	256.096	0.0
266	enoxacin	original	48	0.0234375	23.0	23.0	1.0	320.324	0.0
267	doxapram	original	43	0.02099609375	28.0	28.0	1.0	378.5160000000003	0.0
268	stanozolol	original	45	0.02197265625	24.0	24.0	1.0	328.5	0.0
269	MIGLITOL	original	24	0.01171875	14.0	14.0	1.0	207.226	0.0
270	tetracycline	original	56	0.02734375	32.0	32.0	1.0	444.4400000000001	0.0
271	sulfameter	original	33	0.01611328125	19.0	19.0	1.0	280.309	0.0
272	Carglumic acid	original	23	0.01123046875	13.0	13.0	1.0	190.155	0.0
273	nateglinide	original	38	0.0185546875	23.0	23.0	1.0	317.4290000000001	0.0
274	mycophenolic acid	original	46	0.0224609375	23.0	23.0	1.0	320.341	0.0
275	meclofenamic acid	original	34	0.0166015625	19.0	19.0	1.0	296.153	0.0
276	PHENPROCOUMON	original	34	0.0166015625	21.0	21.0	1.0	280.323	0.0
277	5-Aminosalicylic acid	original	22	0.0107421875	11.0	11.0	1.0	153.137	0.0
278	metronidazole	original	30	0.0146484375	12.0	12.0	1.0	171.15599999999998	0.0
279	isoniazid	original	21	0.01025390625	10.0	10.0	1.0	137.14199999999997	0.0
280	amprenavir	original	63	0.03076171875	35.0	35.0	1.0	505.63700000000034	0.0
281	thiabendazole	original	30	0.0146484375	14.0	14.0	1.0	201.25400000000002	0.0
282	NITAZOXANIDE	original	44	0.021484375	21.0	21.0	1.0	307.28700000000003	0.0
283	propylthiouracil	original	25	0.01220703125	11.0	11.0	1.0	170.237	0.0
284	Ribavirin 5'-triphosphate	original	50	0.0244140625	29.0	29.0	1.0	484.14400000000006	0.0
285	D-cycloserine	original	19	0.00927734375	7.0	7.0	1.0	102.093	0.0
286	ribavirin	original	37	0.01806640625	17.0	17.0	1.0	244.20699999999994	0.0
287	diazoxide	original	30	0.0146484375	14.0	14.0	1.0	230.67600000000002	0.0
288	MEPHENYTOIN	original	29	0.01416015625	16.0	16.0	1.0	218.256	0.0
289	chlorphenesin	original	25	0.01220703125	13.0	13.0	1.0	202.63699999999997	0.0
290	topiramate	original	40	0.01953125	22.0	22.0	1.0	339.36600000000004	0.0
291	ethambutol	original	17	0.00830078125	14.0	14.0	1.0	204.314	0.0
292	methyldopa	original	29	0.01416015625	15.0	15.0	1.0	211.21699999999998	0.0
293	ZILEUTON	original	34	0.0166015625	16.0	16.0	1.0	236.29599999999996	0.0
294	carisoprodol	original	33	0.01611328125	18.0	18.0	1.0	260.334	0.0
295	gabapentin	original	22	0.0107421875	12.0	12.0	1.0	171.23999999999998	0.0
296	Nitisinone	original	39	0.01904296875	23.0	23.0	1.0	329.23	0.0
297	acetazolamide	original	28	0.013671875	13.0	13.0	1.0	222.251	0.0
298	oxyphenbutazone	original	34	0.0166015625	24.0	24.0	1.0	324.38000000000005	0.0
299	4-Aminosalicylic acid	original	22	0.0107421875	11.0	11.0	1.0	153.137	0.0
300	Trilostane	original	46	0.0224609375	24.0	24.0	1.0	329.44	0.0
301	paromomycin	original	42	0.0205078125	42.0	42.0	1.0	615.6340000000002	0.0
302	citalopram	original	47	0.02294921875	24.0	24.0	1.0	324.399	0.0
303	Halofantrine	original	49	0.02392578125	33.0	33.0	1.0	500.4320000000001	0.0
304	Etomidate	original	38	0.0185546875	18.0	18.0	1.0	244.294	0.0
